"","x"
"410","After installing the April security update for Android Pie (only because I didn't enjoy the constant nagging of the update notification) some (not all) of my notifications turned white (mostly weather apps) and other colors (clock is now purple).I have tried restarting the phone, uninstalling and re-installing the apps in question, turning dark mode on and off again, and turning GoodLock's QuickStar on and off. But nothing has worked. These notitifications used to be either dark (when Quick Star wasn't enabled) or transparent (with Quick Star) but now they're often white (even though System settings and Bluetooth and Sound dialogues are all dark) or some other color, on some you can't even read the text."
"411","My 6 month old note 9 has an issue with the microphone. I can't make calls unless I'm on my bluetooth headphone or car. Sound recording doesn't work either."
"412","Just upgraded from S7 to S10+ and used alarm for the first time this morning. Even at low volume it was so loud that I tweaked my neck when it shocked me out of sleep! <U+0001F62B> Then I shocked my wife awake with my girlish scream. <U+0001F633> What happened to the ""gradual increase"" option? Why remove a great optional feature like that Samsung? It took less that 24 hours for ""new and improved"" to become a literal pain in my neck!"
"413","fun"
"414","I have a Gear S3 frontier, this was working ok with my iphone 7, but then i got a new phone, an iphone 8 on IOS 12.3, since then the samsung galaxy watch app will not accept my username and password. I can sign in online with the same credentials, I have tried deleting the app and reinstalling. Samsung customer help were terrible, first telling me that you cant use a samsung watch with an iphone..., and then eventually telling me that the problem was with the app developer and not samsung (the dev. IS SAMSUNG!!) The watch is rendered useless, I cannot put the apps that i need back on as i had to reset the watch to pair with new phone."
"415","Oneplus really outdid themselves"
"416","Hi My Samsung TV Model UE32D5520RK has just started to turn itself on and off. It seems to be trying to reboot, not possinle to change any settings as it won't stay on long enough. Have read about lots of Samsungs having similar problems. Would love to know the solution. Thanks"
"417","I would like to use one of my apps but I can't as it won't connect because it uses a VPN. I do know how to add one but since I don't know the VPN server info, I can't add it....I can't even use any other VPN......is there a fix for this or will I just have to put up with it?"
"418","S10+ user here. My microphone on AKG headphones apparently sometimes works, and sometimes it doesn't. It goes like this: Working fine -> the person whom I am in call with can barely hear me -> and then nothing, the person in call can't hear a thing."
"419","Hi,"
"420","Hello, sorry for my English. After connecting to tv and copy the code from the television..it writes to me ,,unable to connect to ...” why? App Apple TV is fine, but airplay on iPhone and MacBook has a problem. Please help me .."
"421","After updating galaxy A7 2018 to pie version , I can't set lock screen (any type of lock screen )I tried to wipe cache many times but nothing happens ."
"422","I've been using OneUI and Android Pie on my brand new S8+ for a couple of weeks, and here is what I think of it so far.I am aware that that feedback is completely subjective, you might not think the same.- General opinionI haven't used Android 8.x at all, but I was a power user of Kitkat and Lollipop.Android 9 feels like a big updrade AND a massive downgrade at the same time.It is very smooth, gives me a ton of options, that's what I was expecting on a brand new 2 years-old flagship anyway."
"423","Hi,"
"424","hi I'm having problems answering emails when I'm out away from Wi-Fi if I get emails at home I can answer them if I'm out of the house and have my data on and WiFi off all messages go to my outbox when I send them a reply I have been to Vodafone twice they can't work it out and have told me to call customer service but before I do that I'm hoping someone on here can help me solve the problem thanks Debbie"
"425","The new firmware for the 2018 and 2019 Samsung TVs to support Airplay 2 and the Apple TV app has been announced and plenty of people have posted photos of it working. But my TV can't seem to find an update from its current v. 1251 firmware. And the support pages on the Samsung website don't list a newer firmware. Anyone had success getting this update?"
"426","Can't make calls keeps saying conditional calling active"
"427","Hi Folks I am new here and just bought a Q90R and have a few questions that hopefully someone can help me with. I have tried to research before posting but I am getting more confused the more I read. I am not a tech guy so please excuse my ignorance. My question is I have the one connect box and my audio reciever (Denon AVR-S730H) set up through the HDMI 3 (ARC) but the menu on the TV has Dolby Digital and Digital + greyed out. My setup currently has the cable box running to the receiver and then to the one connect becasue I tried it connected to the one connect direcly and I lost surround. Is this how it is supposed to work or am I doing something wrong. I also have an Xbox and Switch plugged directly into the One connect for the low latency mode for my kids. Thanks in advance for any help."
"428","Why is the idle battery usage so stupidly high with this phone? It's my first android and I have no idea why android fans make fun of apple users for their battery when this battery is worse than my regular old iPhone 7!"
"429","I have just moved from the S7 to the 9+. I can not get any voicemails. Is there some thing to do first if so what and how. Is the number 905 to retrieve as that was my last one."
"430","I bought recently Samsung OLED QE55Q8DNA and I discovered one issue with it."
"431","I have a Samsung Galaxy J5 2017 mobile phone. Due to hackers I have been advised to update my ""Whats app"" to the latest version. HOW do i go about it and also to update all the other apps on the phone."
"432","Love my samsung S10 plus but the finger print reader takes approx 3 - 4 attempts to unlock the phone. I have tried various settings but still doesnt fix the issue."
"433","I have s9plus dual sim phone and use 2 Vodafone sims."
"434","I was watching TV last night on my 50inch 4k smart TV and accidentally muted the volume instead of turning the sound up when I Unmuted I heard what I thought was a small pop when the sound returned it wasnt particularly high volume to begin with when it came back on but now It doesn't sound as bassy as it did before any help or advise would be appreciated"
"435","Both myself and my partner pre ordered the Samsung galaxy S10+ and when it came to claiming for our free buds as promised it says that we are not entitled because of the date we ordered. But in the shop they gave us leaflets and receipts to download to claim them."
"436","Hi Guys,"
"437","I wanted to use fingerprint recognition for my Secure folder. Phone forced me to also have a secure Lock screen (currently I have ""unsecure"" swipe unlock for my Lock screen)"
"438","As soon as my tablet updated to Android 7.0 Kernel 3.10.84-14953299 it keeps dropping off my wi fi and giving authentication errors - and it keeps reasking for the password as well."
"439","I have a s8 plus and have just got the galaxy watch 46mm bluetooth model. I have 2 queries"
"440","Hi hopefully someone can help. I've had my s10+ since launch and everything has been perfect but all of a sudden over the last few days whenever I start writing a text the cursor keeps jumping to the beginning. I've tried clearing data and cache, even installed gboard but didn't help and it's so frustrating. Only seems to happen while in messages, tried in browser, Samsung note, WhatsApp and all is fine."
"441","Hi, when I'm using my galaxy buds the left bud frequently stops playing sound. This is generally for a short period of time but is frustrating as it happens so often. This never happens with the right earbud, and it's not a distance issue as even with my phone in my left pocket this problem persists, and with the left ear bud only. If anyone could help with this problem I'd be grateful. Thanks"
"442","Hi all :)"
"443","I can't download my photos to my PC I've put in the cable and it does a scratch but nothing found"
"444","Has anyone else had the problem of the bezel not responding to being turned? Mine seems to freeze and even sometimes the watch page goes the oposite direction to the direction that I am turning it. I have had a replacement watch and the replacement has also been fixed at the service centre and now this! I'm not impressed as the years warranty is up in a few months and then if it breaks again I'll be left with a useless watch!"
"445","Just recently received my promotional galaxy earbuds and have noticed that when I put the buds back in the case and close it the left earbud wont disconnect, causing the bluetooth connection to remain active and to cause battery drain for earbuds and phone unless a manual disconnect is carried out. Has anyone else had same issue? Going to visit the tech support centre on Wednesday and try and get replacement."
"446","Has anyone on the upgrade programme been shafted as much as I have?"
"447","Hi"
"448","It's most noticible on the xbox home screen when it's trying to display a green gradient. There is very noticable horizontal banding and some other distortion as well. It's also noticeable when watching animated shows on netflix where larger graidents are displayed. Here are some examples. Is this normal with this TV or something that I should seek to fix?"
"449","After sharing a long and happy life with our 37"" Panasonic TV, he'd turned 9 years of age and so we decided to upgrade the technology, and pass him on to my sister for her bedroom. We replaced Panny with an (allegedly) all-singing, all-dancing Samsung 40"" model 15 months ago - our first ever Samsung product."
"450","I was pretty excited to finally have a decent and updated phone when I got the S9 in September 2018. And it was great at first...maybe a factory reset would even help. But these updates have gone from bad to worse. The icons changed and are not as attractive. The clock is on the left instead of the right. The selfie camera cuts off my head unless I click 2 person mode every single time I open the camera. The phone randomly calls people when I close their text messages. Etc etc etc. I am just over Samsung at this point. Oh and what's the point of a waterproof phone if you have to wait hours and hours for the charger port to dry before charging?? My next phone will be an Apple, I hate to say. Does anyone know if a factory reset would make it back like when I first bought it?"
"451","I have the following issues with my Galaxy S9+ on Android 9 and would be grateful for resolutions. Thank you!"
"452","Have had my Samsung TV for 2 years now. Previously, the TV switches itself when I connect the phone to the chromecast. Now I have to change the HDMI output with the remote control. Is there a solution to this? Applies even if I turn on the TV box."
"453","Has anyone done a side by side comparasion for dual sim vs single sim battery life?"
"454","So I bought the S9+ on the Upgrade programme and chose to upgrade to the S10+, I have completed the return of the S9+ , but am still within the 28 days return policy for the S10+"
"455","Can anyone help when listening muisc on my buds it plays the pairing sound every few seconds when the music is till playing and its very anyoing any help would be great thanks."
"456","Hello!"
"457","I have an S8 and for a few weeks now i have been unable to move pictures from the camera folder/album into seperate individual folders on my phone. i can select pictures and go into the settings menu. i click on move and nothing happens. Same when i go to copy as well. Anyone know a fix? or having same issues?"
"458","I am trying to move my files to the sd card I have quite a lot of them. Is there a quick way to do this. I try to try all at once and it is taking an age to move even one, I try to move individual films it is quicker but still takes an age."
"459","Following the upgrade to Pie, the mobile hotspot on my J4 no longer works. Can anyone help with this? Thanks."
"460","When I get in my car I connect my S9 by Bluetooth. My car shows the last 10 dialed numbers. Except if I've tried to call say my bank 15 times in a row I just see that number 10 times and now one else. It's not a unique dialed number list, just a list of the last calls."
"461","Hello"
"462","I have been looking around but just thought if anyone has found a cheaper deal for the rear speaker stands."
"463","Hello all,"
"464","Is it possible to change the System Greeting that I recorded on my Voicemail. It seems impossible to delete the first one I have recorded. I would prefer not to have a recorded message at all.? When I first got my phone I foolishly recorded m y name."
"465","Hi, can anybody confirm if the following smart remote will work on the following tv"
"466","Since the same exact physical location can show different coordinates when adding to Trusted Places, wouldn't it make more sense to allow a slightly larger area to be included in the 'Trusted Places' ?"
"467","After waking up phone using quick launch (double tap power key) camera app start but I am unable to switch between wide angle, normal and telephoto lens by tapping icons. The only way is to pinch the screen."
"468","I bought the TV 4 days ago.."
"469","Hi, I've just upgraded from S7 Edge to S9 and most of my Samsung Health data has transferred, but not my Global Challange data, which is quite important to me. Nearly all my challenges are in top 19%, with at least 1 in top 10%. Does anyone know how to retrieve this data? Thanks in advance for any help received."
"470","When my always on display is showing notification icons it has started to show the WhatsApp icon as black or very dark grey which makes it very hard to spot. Any ideas on this?"
"471","I have just got the galaxy active watch and the screen is black and white how do i get it in colour"
"472","I bought on line a Galaxy S10+, 512 MB and I am in title to claim free Samsung Galaxy Buds. How do I claim?"
"473","Hi, recently downloaded the Strava app on my watch but can't access it unless I open the app through my phone. No issues starting a workout or syncing to my Strava account. just seems strange that I can't load the app up directly through my watch like I do with my Speedo app for example. Any help greatly appreciated!"
"474","I have two main issues with this soundbar that I cannot seems to figure out. To set the stage, I work in tech and am very savvy. There is rarely a tech problem I can't sort out including some insanely complex software architectural design."
"475",NA
"476","so I dropped my phone (on a not very hard floor) and everything seem aesthetically fine until I opened my camera. The front camera is completely fine but the back camera will no longer focus. There are no visible cracks or marks over the camera and I know it is not this as if focuses for a second and then won't any longer. it will only focus on the camera mode with the 2 drops, but in this I cannot zoom and it means I can't do any slo mo videos or use any of the other settings. I have not had this phone long and as a amateur photographer this is quite upsetting."
"477",""
"478","Good Lock rocks HOWEVER CALIPSO notification still not staying on until read... SAMSUNG aren't really taking care of the superficial issues, like email recipient not showing, crazy this is how we know what's spam. CALIPSO flashes INICIALKY it SHOULD STAY ON until the notification is read. Sick of having to fix a phone up to get what I need when these are basic huge problems that we can't resolve unless we use third parties, what does SAMSUNG ACTUALLY DO?"
"479","Has anybody received their update with dedicated night mode yet? Along with proximity sensor fix?"
"480","Any tips on how to sleep?!"
"481","Can anyone help me please as I've not long had my s10e. But how do you find selfie filters on the camera section as like you can use on snapchat."
"482","I've only had the Note 9 for like 2 months. The best part of the camera is the voice control. Within the last week it has disappeared, I chatted with a Samsung rep and theu didn't know anything about ot ans suggested it may have went away in the last update. Unfortunately they couldn't confirm. Is anyone else missing this feature if so have you gotten it back and how? When i go into the cameras settings the voice control option is GONE!"
"483","I screen mirrored my phone to the TV and it connected but the screen on the TV is blank"
"484","Did you notice that the geofilters on snapchat are too far up ? Would it make a difference to write Snap a mail and tell them about that problem so they can maybe fix with an update ?"
"485","Hi. I need a repair on my galaxy buds. I bought these second hand brand new and sealed (preorder) and one bud has a fault. It's constantly charging in the cradle. I've tried all types of resets and the left bud is still doing the same thing."
"486","Hi,"
"487","Has anyone noticed a series of errors on S8/+ since April patch update?"
"488","Night mode has started interfering with the Google app any ideas"
"489","Where it is on last update and where can i find lightness lock, like in photo mode?"
"490","New features in samsung smart tv 2019 are really intersting. like , Remote Computer Access,Office Clouds, Music System, Live Broadcusting etc. As a exsting user of 32M5500 FULL HD SMART TV we really recommend samsung engineers team to provide those news features in esxsting smart tv by next software update."
"491","Hello,"
"492","I have seen a few pictures from the last week, now, i am trying to see the same pictures and they dissapeared. Where are they? why would they be erased withouth my authorization? I have looked over the backup and they are not saved there either, I can recall this issue happening very often. I need those pictures as they are taxable bills"
"493","Solved! Go to Solution."
"494","Samsung Galaxy S10+, S10 or S10e owners are able to get an exclusive ""fortnite"" skin by downloading the game and logging in to an account. I don't want to come off as greedy or desperate, but anyone who has one and does not play could help out and it would be very appreciated! thanks!"
"495","A few days ago I switched from a Panasonic Viera to Samsung Q6F ( 2018 )"
"496","Have had my galaxy buds for less than a day and after enjoying them for about 10 minutes I put them in and the right ear bud seems to have dropped the volume to almost mut on full volume."
"497","Hi, I have someone with a Samsung Galaxy S7 running android 8.8. He generally uses his phone as a hotspot for work with his laptop wghich is running windows 10. Its actually still kind of working but it recently just started dropping and not connecting. The laptop he connects to is using windows 10. He says it was working fine until he did a factory reset on his phone and now its doing this regularly. Any help is appreciated. :)"
"498","Good morning,"
"499",NA
"500","Hi there,"
